article_id,name,MK,TR,TK,IM,AB,JM,consensus,rater_pair,mismatch,mismatch_type,ApproximateTitle
236,major_issue,no issues,NA,no issues,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,study_type,Secondary analysis of MoBa data,NA,Secondary analysis of MoBa data,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,preregistered,No,NA,No,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,synthesised,No,NA,No,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,other_data,no,NA,no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,analysis,no,NA,no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,robust_check,no,NA,no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,materials,no,NA,no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,replication,no,NA,no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
236,coi,statement says no,NA,statement says no,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,match,match,"The Associations Between Pre- and Postnatal Maternal Symptoms of Distress and Preschooler's Symptoms of ADHD, Oppositional Defiant Disorder, Conduct Disorder, and Anxiety."
280,major_issue,no issues,NA,other,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,major,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,study_type,Secondary analysis of MoBa data,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,study type,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,preregistered,No,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,synthesised,No,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,other_data,yes,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,other_data_location,Supplementary materials hosted by the journal,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,other_data_access,Yes,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,other_data_type,summary statistics,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,analysis,no,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,robust_check,no,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
280,materials,freely available,NA,NA,NA,NA,NA,add consensus exactly as states in one of your two columns. Please do not add new categories.,MK & TK,mismatch,mismatch higher up,Association between DNA methylation and ADHD symptoms from birth to school age: a prospective meta-analysis.
