article_id,ApproximateTitle,major_issue,study_type,preregistered,synthesised,other_data,analysis,robust_check,materials,replication,coi,materials_location,materials_access,prereg_location,prereg_access,prereg_aspects,analysis_location,analysis_access,other_data_location,other_data_access,other_data_type,synth_docu,synth_location,synth_access,year,coder1,coder2,isOA
13,Prenatal alcohol exposure and child sleep problems: a family‐based quasi‐experimental study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,Ivana,Yes
15,Early childhood respiratory tract infections according to parental subfertility and conception by assisted reproductive technologies.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,Ivana,Yes
28,"Parents' age at birth and daughters' time to pregnancy: a study within the Norwegian Mother, Father and Child Cohort.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,Ivana,No
35,Glycated haemoglobin (HbA1c) in mid-pregnancy and perinatal outcomes.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,Ivana,Yes
38,Maternal mid-gestational and child cord blood immune signatures are strongly associated with offspring risk of ASD.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Ivana,Timo,Yes
48,On the importance of parenting in externalizing disorders: an evaluation of indirect genetic effects in families.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Timo,Ivana,Yes
55,Association of Maternal Use of Triptans During Pregnancy With Risk of Attention-Deficit/Hyperactivity Disorder in Offspring.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,freely available,no,statement says yes,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Ivana,Timo,Yes
81,Attention-deficit/hyperactivity disorder from preschool to school age: change and stability of parent and teacher reports.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,Timo,Ivana,Yes
133,"Pregnancy exposure to organophosphate esters and the risk of attention-deficit hyperactivity disorder in the Norwegian mother, father and child cohort study.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,Ivana,Yes
171,"Prenatal smoking, alcohol and caffeine exposure and maternal reported ADHD symptoms in childhood: triangulation of evidence using negative control and polygenic risk score analyses.",no issues,Data synthesis - Meta-analysis.,Yes,No,no,no,sensitivity,no,no,statement says no,NA,NA,Open Science Framework (osf.io),Yes,Hypotheses;Research question;Variables;Data analysis,NA,NA,NA,NA,NA,NA,NA,NA,2022,Ivana,Timo,Yes
188,Early life growth and associations with lung function and bronchial hyperresponsiveness at 11-years of age.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity & power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Timo,Ivana,Yes
193,Predictive validity of attention-deficit/hyperactivity disorder from ages 3 to 5 Years.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Ivana,Timo,Yes
200,Paternal body mass index and offspring DNA methylation: findings from the PACE consortium.,no issues,Data synthesis - Meta-analysis.,Yes,No,no,freely available,sensitivity,no,no,statement says no,NA,NA,Open Science Framework (osf.io),Yes,Research question;Variables;Data processing;Model structure,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,NA,NA,NA,NA,NA,NA,2021,Timo,Ivana,Yes
229,"Insufficient maternal iodine intake is associated with subfecundity, reduced foetal growth, and adverse pregnancy outcomes in the Norwegian Mother, Father and Child Cohort Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,Ivana,Yes
256,Multiple environmental exposures in early-life and allergy-related outcomes in childhood.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,Ivana,Yes
283,Child and Parental Characteristics of Medication Use for Attention-Deficit/Hyperactivity Disorder.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Ivana,Timo,Yes
302,Antipyretics might occupy a narrow temporal position in aetiology of type 1 diabetes: Immunological and intestinal studies required.,other,NA,NA,NA,NA,NA,NA,NA,NA,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Ivana,Timo,No
316,Maternal microchimerism in cord blood and risk of childhood‐onset type 1 diabetes.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,authors point to third party,no,statement says no,Upon request from the authors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Ivana,Timo,Yes
368,Maternal history of miscarriages and measures of fertility in relation to childhood asthma.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Timo,Ivana,Yes
376,Influence of the Urban Exposome on Birth Weight.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Ivana,Timo,Yes
378,Peer-Victimization of Young Children With Developmental and Behavioral Difficulties-A Population-Based Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Ivana,Timo,Yes
385,Does smoking during pregnancy mediate educational disparities in preterm delivery? Findings from three large birth cohorts.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Ivana,Timo,No
393,Maternal microchimerism in cord blood and celiac disease.,not a full article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Timo,Ivana,Yes
411,Maternal plasma concentrations of per- and polyfluoroalkyl substances and breastfeeding duration in the norwegian mother and child cohort.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Timo,Ivana,Yes
416,Association of Gestational Age at Birth With Symptoms of Attention-Deficit/Hyperactivity Disorder in Children.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Ivana,Timo,Yes
466,Influence of maternal obesity on the association between common pregnancy complications and risk of childhood obesity: an individual participant data meta-analysis.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Ivana,Timo,Yes
474,Prenatal iron exposure and childhood type 1 diabetes.,no issues,Secondary analysis of MoBa data,No,No,yes,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,Upon request from the authors,No,unclear,NA,NA,NA,2018,Timo,Ivana,Yes
479,Self-Esteem and Relationship Satisfaction During the Transition to Motherhood.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Ivana,Timo,Yes
482,Plasma immunological markers in pregnancy and cord blood: A possible link between macrophage chemo-attractants and risk of childhood type 1 diabetes.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Ivana,Timo,Yes
519,Meal frequency patterns and glycemic properties of maternal diet in relation to preterm delivery: Results from a large prospective cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,Ivana,Yes
524,Smoking in Pregnancy and Child ADHD.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Ivana,Timo,Yes
532,Infant feeding and risk of type 1 diabetes in two large scandinavian birth cohorts.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Timo,Ivana,Yes
559,Maternal and Neonatal Vitamin D Status are not Associated With Risk of Childhood Type 1 Diabetes: A Scandinavian Case-Cohort Study.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity & power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Ivana,Timo,Yes
603,Motor development in children prenatally exposed to selective serotonin reuptake inhibitors: a large population-based pregnancy cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Timo,Ivana,Yes
629,Erratum:,not a full article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivana,Timo,Yes
636,Factor structure of the Behavior Rating Inventory of Executive Functions (BRIEF-P) at age three years.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,Ivana,Yes
644,Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,power,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Timo,Ivana,Yes
668,Developmental Trajectories of Postpartum Weight 3 Years After Birth: Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Timo,Ivana,Yes
678,Risk of Fetal Death With Preeclampsia.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Ivana,Timo,Yes
687,Assessment of human hair as an indicator of exposure to organophosphate flame retardants. Case study on a Norwegian mother-child cohort.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Timo,Ivana,Yes
688,"Parents’ Prenatal Mental Health and Emotional, Behavioral and Social Development in Their Children.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,Ivana,Timo,No
731,Neonatal Genome-Wide Methylation Patterns in Relation to Birth Weight in the Norwegian Mother and Child Cohort.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,freely available,no,statement says no,Available from a third party,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,Ivana,Yes
755,Pre-eclampsia research in the Norwegian mother and child cohort study.,no issues,no empirical data,NA,NA,NA,NA,NA,NA,NA,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Ivana,Timo,Yes
762,Folic Acid Supplementation and Interpregnancy Interval.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,Timo,Ivana,No
809,"Changes and tracking of fruit, vegetables and sugar-sweetened beverages intake from 18 months to 7 years in the Norwegian mother and child cohort study.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,Ivana,Yes
