timestamp,date,coder,article_id,major_issue,year,study_type,preregistered,prereg_location,prereg_access,prereg_aspects,synthesised,synth_location,synth_access,synth_docu,other_data,other_data_location,other_data_access,other_data_type,analysis,analysis_location,analysis_access,robust_check,materials,materials_location,materials_access,replication,coi,ApproximateTitle,coder1,coder2,isOA
2024/01/10 9:56:58 am EET,2024-01-10,MK,129,There are no issues,2014,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 6)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",The role of ECEC teachers for the long-term social and academic adjustment of children with early externalizing difficulties: a prospective cohort study.,Max,Tamara,Yes
2024/01/10 10:02:52 am EET,2024-01-10,MK,129,There are no issues,2021,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),Available from a third party,No,NA,"Yes, analysis scripts are freely available",Upon request from the authors,No,No,"Yes, materials are freely available",Upon request from the authors,No,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",The role of ECEC teachers for the long-term social and academic adjustment of children with early externalizing difficulties: a prospective cohort study.,Max,Tamara,Yes
2024/01/15 11:40:23 am EET,2023-01-15,MK,880,There are no issues,2012,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 6)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",Self-reported smoking status and plasma cotinine concentrations among pregnant women in the Norwegian Mother and Child Cohort Study.,Max,Tamara,Yes
2024/01/15 11:56:43 am EET,2023-01-15,MK,177,There are no issues,2021,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 6)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",Relationships between apparent cortical thickness and working memory across the lifespan - Effects of genetics and socioeconomic status.,Max,Tamara,Yes
2024/01/15 12:25:15 pm EET,2023-01-15,MK,511,There are no issues,2017,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 6)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",Maternal intake of seafood and supplementary long chain n-3 poly-unsaturated fatty acids and preterm delivery.[Erratum appears in BMC Pregnancy Childbirth. 2017 Feb 10;17 (1):61; PMID: 28187761].,Tamara,Max,Yes
2024/01/15 3:23:35 pm EET,2024-01-15,TR,603,There are no issues,2015,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 5.4)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"Yes, the statement says that there is no conflict of interest.",Motor development in children prenatally exposed to selective serotonin reuptake inhibitors: a large population-based pregnancy cohort study.,Timo,Ivana,Yes
2024/01/15 3:26:39 pm EET,2024-01-15,TR,762,There are no issues,2014,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,No,NA,NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 5.4)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"No, there is no conflict of interest statement.",Folic Acid Supplementation and Interpregnancy Interval.,Timo,Ivana,No
2024/01/16 2:14:44 pm EET,2024-01-16,TR,991,There are no issues,2009,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 5.4)",NA,NA,No,"No, other materials are not available. (GO TO SECTION 7)",NA,NA,There is no clear statement that the article reports a replication study (or studies),"No, there is no conflict of interest statement.",The effect of recurrent miscarriage and infertility on the risk of pre-eclampsia.,Timo,Ivana,No
2024/01/31 2:50:10 pm EET,2024-01-31,TR,478,There are no issues,2018,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 5.4)",NA,NA,No,"Yes, materials are freely available","An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,There is no clear statement that the article reports a replication study (or studies),"No, there is no conflict of interest statement.",The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers.,Timo,NA,Yes
2024/02/05 11:45:31 am EET,2024-02-05,TR,478,There are no issues,2018,Secondary analysis of MoBa data,"No, there is no preregistration. (GO TO SECTION 4)",NA,NA,NA,"No, synthesised data are not available. (GO TO SECTION 4.5)",NA,NA,NA,No (GO TO SECTION 5),NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 5.4)",NA,NA,No,"Yes, materials are freely available",Supplementary materials hosted by the journal,Yes,There is no clear statement that the article reports a replication study (or studies),"No, there is no conflict of interest statement.",The International Childhood Cancer Cohort Consortium (I4C): A research platform of prospective cohorts for studying the aetiology of childhood cancers.,Timo,NA,Yes
